train_number,station
16127,AAY
16128,AAY
12679,AB
12680,AB
12637,ABI
12638,ABI
15959,ABKA
15960,ABKA
12957,ABR
12958,ABR
12163,AD
12164,AD
16340,AD
22602,AD
11013,AD
11014,AD
16339,AD
22601,AD
12009,ADI
12010,ADI
16127,AFK
16128,AFK
12621,AGC
12622,AGC
12625,AGC
12626,AGC
12137,AGC
12138,AGC
12433,AGC
12434,AGC
12001,AGC
12002,AGC
22221,AGC
22222,AGC
12049,AGC
12050,AGC
15959,AGI
15960,AGI
12367,AHA
12368,AHA
12957,AII
12958,AII
12673,AJJ
12674,AJJ
12163,AJJ
12682,AJJ
12295,AJJ
12296,AJJ
22651,AJJ
22652,AJJ
12164,AJJ
12679,AJJ
12680,AJJ
12509,AJJ
22602,AJJ
12681,AJJ
12510,AJJ
22601,AJJ
12261,AK
12262,AK
17057,AKE
17058,AKE
12840,AKP
12839,AKP
16127,ALLP
16128,ALLP
16127,ALU
16128,ALU
16127,AMPA
16128,AMPA
22602,ANG
22601,ANG
12201,ANKL
12202,ANKL
12009,ANND
12010,ANND
12840,ANV
12839,ANV
12367,ANVT
12235,ANVT
12368,ANVT
12236,ANVT
12367,ARA
12295,ARA
12296,ARA
12235,ARA
12368,ARA
12236,ARA
12019,ASN
12020,ASN
12301,ASN
12313,ASN
12314,ASN
12302,ASN
12925,ASR
12926,ASR
12903,ASR
12904,ASR
16340,ATP
22602,ATP
11013,ATP
11014,ATP
16339,ATP
22601,ATP
15959,AUB
15960,AUB
12625,AWY
12626,AWY
16127,AWY
16128,AWY
15959,AZ
15960,AZ
12137,BAB
12138,BAB
12840,BALU
12839,BALU
12509,BALU
12510,BALU
12840,BAM
12839,BAM
12841,BAM
12842,BAM
12509,BAM
12510,BAM
12137,BAQ
12138,BAQ
12367,BARH
12368,BARH
12137,BAU
12138,BAU
12840,BBS
12246,BBS
12839,BBS
12841,BBS
12842,BBS
12509,BBS
12245,BBS
12510,BBS
15959,BDC
15960,BDC
12925,BDMJ
12926,BDMJ
12925,BDTS
12926,BDTS
12903,BDTS
12904,BDTS
12925,BEAS
12926,BEAS
12903,BEAS
12904,BEAS
12367,BGP
12368,BGP
11027,BGVN
11028,BGVN
12137,BGZ
12138,BGZ
12925,BH
12926,BH
12009,BH
12010,BH
12953,BH
12954,BH
12840,BHC
12839,BHC
12841,BHC
12842,BHC
12509,BHC
12510,BHC
22301,BHP
22302,BHP
12509,BHP
12510,BHP
12137,BHS
12138,BHS
12625,BINA
12626,BINA
12137,BINA
12138,BINA
12001,BINA
12002,BINA
15959,BJF
15960,BJF
12423,BJU
12424,BJU
12260,BKN
12259,BKN
12367,BKP
12368,BKP
12019,BKSC
12020,BKSC
12925,BL
12926,BL
12953,BL
12954,BL
12840,BLS
12839,BLS
12841,BLS
12842,BLS
12509,BLS
12510,BLS
12137,BLZ
12138,BLZ
17057,BMO
17058,BMO
17057,BMT
17058,BMT
11013,BNC
11014,BNC
15959,BNGN
15960,BNGN
15959,BOE
15960,BOE
22301,BOE
22302,BOE
12509,BOE
12510,BOE
15959,BOJ
15960,BOJ
12137,BPF
12138,BPF
12621,BPL
12622,BPL
12625,BPL
12626,BPL
12137,BPL
12138,BPL
12433,BPL
12434,BPL
12001,BPL
12002,BPL
22221,BPL
22222,BPL
12840,BPP
12839,BPP
12621,BPQ
12622,BPQ
12625,BPQ
12626,BPQ
12433,BPQ
12434,BPQ
12295,BPQ
12296,BPQ
15959,BPRD
15960,BPRD
12509,BPRD
12510,BPRD
12679,BQI
12680,BQI
12951,BRC
12952,BRC
12925,BRC
12926,BRC
12903,BRC
12904,BRC
12009,BRC
12010,BRC
12953,BRC
12954,BRC
12367,BRYA
12368,BRYA
12137,BRZ
12138,BRZ
12137,BSL
12138,BSL
12261,BSL
12262,BSL
22221,BSL
22222,BSL
12261,BSP
12262,BSP
17057,BSX
17058,BSX
12925,BTE
12926,BTE
12903,BTE
12904,BTE
12137,BTI
12138,BTI
12367,BUP
12368,BUP
12951,BVI
12952,BVI
12925,BVI
12926,BVI
12903,BVI
12904,BVI
12009,BVI
12010,BVI
12953,BVI
12954,BVI
11027,BVQ
11028,BVQ
12903,BWM
12904,BWM
12306,BWN
12305,BWN
12295,BWT
12296,BWT
12509,BWT
22602,BWT
12510,BWT
22601,BWT
12925,BXN
12926,BXN
12903,BXN
12904,BXN
15959,BXP
15960,BXP
12367,BXR
12295,BXR
12296,BXR
12235,BXR
12368,BXR
12236,BXR
12201,BYNR
12202,BYNR
12246,BYPL
12621,BZA
12622,BZA
12840,BZA
12625,BZA
12626,BZA
12246,BZA
12839,BZA
12433,BZA
12434,BZA
12295,BZA
12296,BZA
12841,BZA
12842,BZA
12509,BZA
12245,BZA
12510,BZA
12295,BZU
12296,BZU
