Date,Latitude,Longitude,weather_code (wmo code),precipitation_sum (mm)
01-01-2025,8.249451361,77.52926469,3,0
02-01-2025,8.249451361,77.52926469,3,0
03-01-2025,8.249451361,77.52926469,3,0
04-01-2025,8.249451361,77.52926469,3,0
05-01-2025,8.249451361,77.52926469,3,0
06-01-2025,8.249451361,77.52926469,3,0
07-01-2025,8.249451361,77.52926469,2,0
08-01-2025,8.249451361,77.52926469,2,0
09-01-2025,8.249451361,77.52926469,3,0
10-01-2025,8.249451361,77.52926469,3,0
11-01-2025,8.249451361,77.52926469,51,0.2
12-01-2025,8.249451361,77.52926469,51,0.3
13-01-2025,8.249451361,77.52926469,61,2.3
14-01-2025,8.249451361,77.52926469,55,4.7
15-01-2025,8.249451361,77.52926469,53,2.1
16-01-2025,8.249451361,77.52926469,3,0
17-01-2025,8.249451361,77.52926469,3,0
18-01-2025,8.249451361,77.52926469,63,12.9
19-01-2025,8.249451361,77.52926469,63,16.6
20-01-2025,8.249451361,77.52926469,3,0
21-01-2025,8.249451361,77.52926469,51,0.2
22-01-2025,8.249451361,77.52926469,51,0.2
23-01-2025,8.249451361,77.52926469,51,1.1
24-01-2025,8.249451361,77.52926469,3,0
25-01-2025,8.249451361,77.52926469,51,0.2
26-01-2025,8.249451361,77.52926469,3,0
27-01-2025,8.249451361,77.52926469,3,0
28-01-2025,8.249451361,77.52926469,3,0
29-01-2025,8.249451361,77.52926469,3,0
30-01-2025,8.249451361,77.52926469,63,4.1
31-01-2025,8.249451361,77.52926469,63,8.4
01-02-2025,8.249451361,77.52926469,51,0.2
02-02-2025,8.249451361,77.52926469,3,0
03-02-2025,8.249451361,77.52926469,51,0.4
04-02-2025,8.249451361,77.52926469,3,0
05-02-2025,8.249451361,77.52926469,3,0
06-02-2025,8.249451361,77.52926469,2,0
07-02-2025,8.249451361,77.52926469,3,0
08-02-2025,8.249451361,77.52926469,3,0
09-02-2025,8.249451361,77.52926469,3,0
10-02-2025,8.249451361,77.52926469,3,0
11-02-2025,8.249451361,77.52926469,3,0
12-02-2025,8.249451361,77.52926469,3,0
13-02-2025,8.249451361,77.52926469,3,0
14-02-2025,8.249451361,77.52926469,51,0.1
15-02-2025,8.249451361,77.52926469,3,0
16-02-2025,8.249451361,77.52926469,3,0
17-02-2025,8.249451361,77.52926469,3,0
18-02-2025,8.249451361,77.52926469,3,0
19-02-2025,8.249451361,77.52926469,2,0
20-02-2025,8.249451361,77.52926469,1,0
21-02-2025,8.249451361,77.52926469,0,0
22-02-2025,8.249451361,77.52926469,51,0.1
23-02-2025,8.249451361,77.52926469,3,0
24-02-2025,8.249451361,77.52926469,1,0
25-02-2025,8.249451361,77.52926469,51,0.1
26-02-2025,8.249451361,77.52926469,61,3.2
27-02-2025,8.249451361,77.52926469,61,4.6
28-02-2025,8.249451361,77.52926469,53,3.4
01-03-2025,8.249451361,77.52926469,51,2.5
02-03-2025,8.249451361,77.52926469,53,2.2
03-03-2025,8.249451361,77.52926469,3,0
04-03-2025,8.249451361,77.52926469,3,0
05-03-2025,8.249451361,77.52926469,3,0
06-03-2025,8.249451361,77.52926469,3,0
07-03-2025,8.249451361,77.52926469,55,1.2
08-03-2025,8.249451361,77.52926469,53,2.1
09-03-2025,8.249451361,77.52926469,1,0
10-03-2025,8.249451361,77.52926469,51,1.2
11-03-2025,8.249451361,77.52926469,61,8.4
12-03-2025,8.249451361,77.52926469,53,2.1
13-03-2025,8.249451361,77.52926469,51,0.1
14-03-2025,8.249451361,77.52926469,51,0.7
15-03-2025,8.249451361,77.52926469,53,2.4
16-03-2025,8.249451361,77.52926469,63,6.6
17-03-2025,8.249451361,77.52926469,53,0.7
18-03-2025,8.249451361,77.52926469,61,4.5
19-03-2025,8.249451361,77.52926469,63,4.9
20-03-2025,8.249451361,77.52926469,51,0.2
21-03-2025,8.249451361,77.52926469,61,2.1
22-03-2025,8.249451361,77.52926469,61,5.2
23-03-2025,8.249451361,77.52926469,51,0.1
24-03-2025,8.249451361,77.52926469,51,0.4
25-03-2025,8.249451361,77.52926469,53,1.2
26-03-2025,8.249451361,77.52926469,55,2.2
27-03-2025,8.249451361,77.52926469,53,1
28-03-2025,8.249451361,77.52926469,53,1.7
29-03-2025,8.249451361,77.52926469,3,0
30-03-2025,8.249451361,77.52926469,51,0.4
31-03-2025,8.249451361,77.52926469,51,0.6
01-04-2025,8.249451361,77.52926469,51,0.8
02-04-2025,8.249451361,77.52926469,53,4
03-04-2025,8.249451361,77.52926469,65,33.2
04-04-2025,8.249451361,77.52926469,65,15.7
05-04-2025,8.249451361,77.52926469,63,4.7
06-04-2025,8.249451361,77.52926469,63,11.2
07-04-2025,8.249451361,77.52926469,55,1.7
08-04-2025,8.249451361,77.52926469,53,0.9
09-04-2025,8.249451361,77.52926469,61,3
10-04-2025,8.249451361,77.52926469,51,0.1
11-04-2025,8.249451361,77.52926469,55,3.1
12-04-2025,8.249451361,77.52926469,51,0.4
13-04-2025,8.249451361,77.52926469,61,2.8
14-04-2025,8.249451361,77.52926469,61,1.5
15-04-2025,8.249451361,77.52926469,55,2.5
16-04-2025,8.249451361,77.52926469,61,2.3
17-04-2025,8.249451361,77.52926469,61,3.2
18-04-2025,8.249451361,77.52926469,51,1
19-04-2025,8.249451361,77.52926469,61,3.5
20-04-2025,8.249451361,77.52926469,63,4.3
21-04-2025,8.249451361,77.52926469,61,4.5
22-04-2025,8.249451361,77.52926469,61,3.3
23-04-2025,8.249451361,77.52926469,55,2.3
24-04-2025,8.249451361,77.52926469,53,0.9
25-04-2025,8.249451361,77.52926469,55,2.3
26-04-2025,8.249451361,77.52926469,51,0.6
27-04-2025,8.249451361,77.52926469,55,1.5
28-04-2025,8.249451361,77.52926469,55,1.7
29-04-2025,8.249451361,77.52926469,53,2.4
30-04-2025,8.249451361,77.52926469,53,1.7
01-05-2025,8.249451361,77.52926469,53,2.8
02-05-2025,8.249451361,77.52926469,63,6.2
03-05-2025,8.249451361,77.52926469,51,0.1
04-05-2025,8.249451361,77.52926469,51,0.7
05-05-2025,8.249451361,77.52926469,53,0.9
06-05-2025,8.249451361,77.52926469,51,0.3
07-05-2025,8.249451361,77.52926469,53,0.9
08-05-2025,8.249451361,77.52926469,3,0
09-05-2025,8.249451361,77.52926469,3,0
10-05-2025,8.249451361,77.52926469,3,0
11-05-2025,8.249451361,77.52926469,51,0.1
12-05-2025,8.249451361,77.52926469,61,2.3
13-05-2025,8.249451361,77.52926469,51,0.2
14-05-2025,8.249451361,77.52926469,53,2.2
15-05-2025,8.249451361,77.52926469,53,1
16-05-2025,8.249451361,77.52926469,51,0.1
17-05-2025,8.249451361,77.52926469,3,0
18-05-2025,8.249451361,77.52926469,55,2.4
19-05-2025,8.249451361,77.52926469,53,2.6
20-05-2025,8.249451361,77.52926469,51,1.2
21-05-2025,8.249451361,77.52926469,53,1.4
22-05-2025,8.249451361,77.52926469,51,1.8
23-05-2025,8.249451361,77.52926469,55,8.1
24-05-2025,8.249451361,77.52926469,61,9.6
25-05-2025,8.249451361,77.52926469,61,6.8
26-05-2025,8.249451361,77.52926469,61,12.8
27-05-2025,8.249451361,77.52926469,61,13.7
28-05-2025,8.249451361,77.52926469,61,17.8
29-05-2025,8.249451361,77.52926469,63,45.7
30-05-2025,8.249451361,77.52926469,61,15.4
31-05-2025,8.249451361,77.52926469,51,0.4
01-06-2025,8.249451361,77.52926469,3,0
02-06-2025,8.249451361,77.52926469,51,0.3
03-06-2025,8.249451361,77.52926469,51,2.1
04-06-2025,8.249451361,77.52926469,51,1
05-06-2025,8.249451361,77.52926469,3,0
06-06-2025,8.249451361,77.52926469,3,0
07-06-2025,8.249451361,77.52926469,3,0
08-06-2025,8.249451361,77.52926469,3,0
09-06-2025,8.249451361,77.52926469,3,0
10-06-2025,8.249451361,77.52926469,51,2
11-06-2025,8.249451361,77.52926469,53,6.5
12-06-2025,8.249451361,77.52926469,53,5
13-06-2025,8.249451361,77.52926469,61,18.8
14-06-2025,8.249451361,77.52926469,61,20.2
15-06-2025,8.249451361,77.52926469,63,36.9
16-06-2025,8.249451361,77.52926469,55,8.7
17-06-2025,8.249451361,77.52926469,61,9.9
18-06-2025,8.249451361,77.52926469,51,0.8
19-06-2025,8.249451361,77.52926469,51,0.4
20-06-2025,8.249451361,77.52926469,51,0.6
21-06-2025,8.249451361,77.52926469,3,0
22-06-2025,8.249451361,77.52926469,51,0.9
23-06-2025,8.249451361,77.52926469,51,0.6
24-06-2025,8.249451361,77.52926469,53,7.8
25-06-2025,8.249451361,77.52926469,55,5.9
26-06-2025,8.249451361,77.52926469,53,4.7
