Train_Number,Day,Station_Code,Time,Rounded Off Arrival Time,,Latitude,
12673,DAY 1,MAS,22:00,22:00:00,,13.0847613,80.27485630000001
12673,DAY 1,AJJ,22:53,23:00:00,,13.081512,79.667991
12673,DAY 1,KPD,23:43,00:00:00,,12.972734,79.13534100000001
12673,DAY 2,JTJ,01:13,01:00:00,,12.560851999999999,78.57781999999999
12673,DAY 2,SA,02:42,03:00:00,,11.671726000000001,78.113415
12673,DAY 2,ED,03:45,04:00:00,,11.327682,77.72593400000001
12673,DAY 2,TUP,04:33,05:00:00,,11.108906,77.341247
12673,DAY 2,CBF,05:29,05:00:00,,11.019937,76.954304
12673,DAY 2,CBE,06:00,06:00:00,,10.997639,76.966298
12674,DAY 1,CBE,22:50,23:00:00,,10.997639,76.966298
12674,DAY 1,TUP,23:33,00:00:00,,11.108906,77.341247
12674,DAY 2,ED,00:25,00:00:00,,11.327682,77.72593400000001
12674,DAY 2,SA,01:22,01:00:00,,11.671726000000001,78.113415
12674,DAY 2,JTJ,03:23,03:00:00,,12.560851999999999,78.57781999999999
12674,DAY 2,KPD,04:23,04:00:00,,12.972734,79.13534100000001
12674,DAY 2,AJJ,05:13,05:00:00,,13.081512,79.667991
12674,DAY 2,PER,06:08,06:00:00,,13.10702,80.24453299999999
12674,DAY 2,MAS,07:00,07:00:00,,13.0847613,80.27485630000001
12681,DAY 1,MAS,22:30,23:00:00,,13.0847613,80.27485630000001
12681,DAY 1,AJJ,23:23,23:00:00,,13.081512,79.667991
12681,DAY 2,KPD,00:13,00:00:00,,12.972734,79.13534100000001
12681,DAY 2,SA,03:05,03:00:00,,11.671726000000001,78.113415
12681,DAY 2,ED,04:05,04:00:00,,11.327682,77.72593400000001
12681,DAY 2,TUP,04:53,05:00:00,,11.108906,77.341247
12681,DAY 2,CBF,05:44,06:00:00,,11.019937,76.954304
12681,DAY 2,CBE,06:30,07:00:00,,10.997639,76.966298
12682,DAY 1,CBE,23:30,00:00:00,,10.997639,76.966298
12682,DAY 2,TUP,00:07,00:00:00,,11.108906,77.341247
12682,DAY 2,ED,00:50,01:00:00,,11.327682,77.72593400000001
12682,DAY 2,SA,01:47,02:00:00,,11.671726000000001,78.113415
12682,DAY 2,KPD,05:08,05:00:00,,12.972734,79.13534100000001
12682,DAY 2,AJJ,05:58,06:00:00,,13.081512,79.667991
12682,DAY 2,PER,06:48,07:00:00,,13.10702,80.24453299999999
12682,DAY 2,MAS,07:35,08:00:00,,13.0847613,80.27485630000001
12637,DAY 1,MS,21:40,22:00:00,,13.077677999999999,80.260193
12637,DAY 1,MBM,21:53,22:00:00,,13.038154,80.228164
12637,DAY 1,TBM,22:05,22:00:00,,12.926035689399999,80.11915738
12637,DAY 1,CGL,22:33,23:00:00,,12.692863999999998,79.981519
12637,DAY 2,VM,00:03,00:00:00,,11.942971,79.500101
12637,DAY 2,VRI,00:50,01:00:00,,11.534965,79.316073
12637,DAY 2,TPJ,02:45,03:00:00,,10.794067,78.685355
12637,DAY 2,MPA,03:14,03:00:00,,10.60756201,78.41776524
12637,DAY 2,DG,03:52,04:00:00,,10.35381,77.985472
12637,DAY 2,ABI,04:04,04:00:00,,10.272226,77.924468
12637,DAY 2,KQN,04:13,04:00:00,,10.179613000000002,77.909593
12637,DAY 2,MDU,05:25,05:00:00,,9.919907,78.11031399999999
12638,DAY 1,MDU,21:25,21:00:00,,9.919907,78.11031399999999
12638,DAY 1,KQN,21:53,22:00:00,,10.179613000000002,77.909593
12638,DAY 1,ABI,22:09,22:00:00,,10.272226,77.924468
12638,DAY 1,DG,22:25,22:00:00,,10.35381,77.985472
12638,DAY 1,MPA,23:04,23:00:00,,10.60756201,78.41776524
12638,DAY 1,TPJ,23:40,00:00:00,,10.794067,78.685355
12638,DAY 2,VRI,01:14,01:00:00,,11.534965,79.316073
12638,DAY 2,VM,02:18,02:00:00,,11.942971,79.500101
12638,DAY 2,CGL,03:43,04:00:00,,12.692863999999998,79.981519
12638,DAY 2,TBM,04:13,04:00:00,,12.926035689399999,80.11915738
12638,DAY 2,MBM,04:33,05:00:00,,13.038154,80.228164
12638,DAY 2,MS,05:20,05:00:00,,13.077677999999999,80.260193
12631,DAY 1,MS,20:50,21:00:00,,13.077677999999999,80.260193
12631,DAY 1,MBM,21:03,21:00:00,,13.038154,80.228164
12631,DAY 1,TBM,21:15,21:00:00,,12.926035689399999,80.11915738
12631,DAY 1,CGL,21:43,22:00:00,,12.692863999999998,79.981519
12631,DAY 1,MLMR,22:08,22:00:00,,12.429554,79.83380100000001
